title,ingredients_raw,instructions,image_name,base_servings,prep_time,cook_time,taste_profile,texture_profile,memory_description,similar_dishes,substitution_options,retrieval_text
Easy Three-Berry Crumble Slab Pie,"2 tablespoons all-purpose flour | 2 9-inch pie crusts | 7 cups frozen mixed berries (blackberries, blueberries, and raspberries) | ¾ cup granulated sugar | ⅓ cup arrowroot powder | ½ teaspoon salt | 1 cup rolled oats | 1 cup all-purpose flour | ¾ cup packed light brown sugar | 1 teaspoon apple pie spice | ½ teaspoon salt | 7 tablespoons cold unsalted butter",,easy_three_berry_crumble_slab_pie.jpg,18,15.0,45.0,"Sweet-tart berries, buttery crumble",Fruity filling with crunchy topping,The slab pie that feeds a crowd.,"Crumble Pie, Berry Pie, Slab Pie",Substitute any frozen berries; use any spices.,"Title: Easy Three-Berry Crumble Slab Pie. Taste: Sweet-tart berries, buttery crumble. Texture: Fruity filling with crunchy topping. Memory: The slab pie that feeds a crowd.. Similar dishes: Crumble Pie, Berry Pie, Slab Pie"
Easy Grilled Shrimp Fajitas,"1 red bell pepper, sliced into thin strips | 1 green bell pepper, sliced into thin strips | 1 large onion, sliced into thin strips | 1 large fresh jalapeño pepper, sliced | 2 ½ teaspoons fajita seasoning mix, divided | 1 teaspoon olive oil | 12 ounces raw large shrimp, peeled and deveined | 1 tablespoon lime juice | 8 (6 inch) fajita-size flour tortillas",,easy_grilled_shrimp_fajitas.jpg,4,20.0,20.0,"Spicy shrimp, grilled peppers, lime","Grilled, wrapped, fresh",The 20-minute fajitas that are better than restaurants.,"Shrimp Fajitas, Grilled Fajitas, Easy Fajitas",Substitute shrimp with chicken; use any seasoning.,"Title: Easy Grilled Shrimp Fajitas. Taste: Spicy shrimp, grilled peppers, lime. Texture: Grilled, wrapped, fresh. Memory: The 20-minute fajitas that are better than restaurants.. Similar dishes: Shrimp Fajitas, Grilled Fajitas, Easy Fajitas"
Pasta Salad for a Crowd,"3 pounds garden rotini pasta | 2 (16 ounce) packages steam-in-bag frozen broccoli florets | 6 tomatoes, chopped | 2 (16 ounce) bottles Italian-style salad dressing | 16 ounces Cheddar cheese, cubed | 1 tablespoon salt | 1 tablespoon ground black pepper | 1 tablespoon garlic powder | 1 tablespoon onion powder",,pasta_salad_for_a_crowd.jpg,70,15.0,15.0,"Italian dressing, cheese, broccoli",Pasta salad with crunch,The pasta salad that feeds the whole block party.,"Pasta Salad, Italian Pasta Salad, Crowd Salad",Substitute rotini with any pasta; use any vegetables.,"Title: Pasta Salad for a Crowd. Taste: Italian dressing, cheese, broccoli. Texture: Pasta salad with crunch. Memory: The pasta salad that feeds the whole block party.. Similar dishes: Pasta Salad, Italian Pasta Salad, Crowd Salad"
Instant Pot Butternut Squash and Pumpkin Spice Soup,"1 tablespoon avocado oil, or as needed | 1 onion, diced | 2 pounds butternut squash, cubed | 1 teaspoon curry powder | ½ teaspoon ground cinnamon | ¼ teaspoon ground nutmeg | 3 cups vegetable broth | 2 cups unsweetened applesauce | ½ cup pumpkin puree | 2 tablespoons ghee (clarified butter) | 2 teaspoons honey, or more to taste | salt to taste",,instant_pot_butternut_squash_and_pumpkin_spice_soup.jpg,6,30.0,32.0,"Sweet squash, spiced, creamy","Silky smooth, comforting",The fall soup that's ready in minutes.,"Squash Soup, Pumpkin Soup, Instant Pot Soup",Substitute butternut with any squash; use any spices.,"Title: Instant Pot Butternut Squash and Pumpkin Spice Soup. Taste: Sweet squash, spiced, creamy. Texture: Silky smooth, comforting. Memory: The fall soup that's ready in minutes.. Similar dishes: Squash Soup, Pumpkin Soup, Instant Pot Soup"
Healthy Whole Wheat Bread Machine Buns,"1 ¼ cups warm water | 1 egg | 1 ½ tablespoons olive oil | 3 tablespoons honey | 1 tablespoon molasses | 2 tablespoons chia seeds | 3 ¾ cups whole wheat flour | 1 ½ teaspoons salt | 3 teaspoons active dry yeast | cooking spray | 1 tablespoon butter, melted, or more as needed",,healthy_whole_wheat_bread_machine_buns.jpg,12,10.0,15.0,"Nutty whole wheat, slightly sweet","Soft, fluffy, wholesome",The homemade buns that are actually good for you.,"Whole Wheat Buns, Dinner Rolls, Bread Machine Buns",Substitute honey with maple syrup; use any seeds.,"Title: Healthy Whole Wheat Bread Machine Buns. Taste: Nutty whole wheat, slightly sweet. Texture: Soft, fluffy, wholesome. Memory: The homemade buns that are actually good for you.. Similar dishes: Whole Wheat Buns, Dinner Rolls, Bread Machine Buns"
Best Refried Beans,"1 ¾ cups dry pinto beans | 1 cup diced yellow onion | 2 large cloves garlic, chopped | 1 tablespoon chili powder | 2 teaspoons ground cumin | 1 teaspoon celery seed | ¾ teaspoon salt | ½ teaspoon ground black pepper | ⅔ cup fire-roasted diced tomatoes | ½ teaspoon hot pepper sauce (such as Tapatio) | ¼ teaspoon dried Mexican oregano | ¼ teaspoon cayenne pepper",,best_refried_beans.jpg,8,15.0,95.0,"Earthy beans, smoky, spicy","Creamy, smooth",The refried beans that are worth making from scratch.,"Refried Beans, Frijoles Refritos, Mexican Beans",Substitute pinto beans with black beans; use any spices.,"Title: Best Refried Beans. Taste: Earthy beans, smoky, spicy. Texture: Creamy, smooth. Memory: The refried beans that are worth making from scratch.. Similar dishes: Refried Beans, Frijoles Refritos, Mexican Beans"
Authentic Fire-Roasted Tex-Mex Salsa,"cooking spray | 5 large Roma tomatoes, halved lengthwise | ¼ large white onion | 1 jalapeno pepper, stem removed | ⅓ cup chopped fresh cilantro | 1 lime, juiced | 1 ½ teaspoons garlic salt, or to taste",,authentic_fire_roasted_tex_mex_salsa.jpg,8,10.0,10.0,"Smoky tomatoes, spicy, fresh","Chunky, fresh",The salsa that tastes like it came from a Mexican market.,"Salsa, Tex-Mex Salsa, Fire-Roasted Salsa",Substitute Roma tomatoes with any tomatoes; use any chiles.,"Title: Authentic Fire-Roasted Tex-Mex Salsa. Taste: Smoky tomatoes, spicy, fresh. Texture: Chunky, fresh. Memory: The salsa that tastes like it came from a Mexican market.. Similar dishes: Salsa, Tex-Mex Salsa, Fire-Roasted Salsa"
Pavlova with Winter Fruits,"4 egg whites, at room temperature | ¾ cup white sugar | ¼ cup superfine sugar | 1 ½ teaspoons cornstarch | ½ teaspoon orange blossom water (Optional) | ½ teaspoon white vinegar | 3 lemons, zested and juiced | ⅓ cup white sugar | 4 large egg yolks | 1 pinch sea salt | 3 tablespoons coconut oil, at room temperature | 1 cup heavy cream | 2 tablespoons confectioners' sugar | 1 teaspoon orange blossom water (Optional) | 1 pink grapefruit, peeled and sliced crosswise | 1 orange, peeled and sliced crosswise | 1 ripe Fuyu persimmon, peeled and thinly sliced | ½ pomegranate, seeded",,pavlova_with_winter_fruits.jpg,3,30.0,60.0,"Sweet meringue, tart citrus, pomegranate","Crisp, creamy, fruity",The winter pavlova that's almost too pretty to eat.,"Pavlova, Winter Fruit Dessert, Meringue Dessert",Substitute any winter fruits; use any citrus.,"Title: Pavlova with Winter Fruits. Taste: Sweet meringue, tart citrus, pomegranate. Texture: Crisp, creamy, fruity. Memory: The winter pavlova that's almost too pretty to eat.. Similar dishes: Pavlova, Winter Fruit Dessert, Meringue Dessert"
Chocolate Pumpkin Pudding Pie,"½ cup white sugar | ½ cup light brown sugar | 2 tablespoons cornstarch | 1 ½ teaspoons kosher salt | ¾ teaspoon ground cinnamon | ¾ teaspoon pumpkin pie spice | 1 pinch ground cloves | 1 (15 ounce) can solid pack pumpkin puree | 1 (12 fluid ounce) can evaporated milk | 4 egg yolks | 4 ounces bittersweet baking chocolate, finely minced | 2 tablespoons unsalted butter | 2 teaspoons vanilla extract | 1 (9 inch) prepared chocolate cookie crumb crust | 2 tablespoons sweetened whipped cream (Optional)",,chocolate_pumpkin_pudding_pie.jpg,8,10.0,10.0,"Chocolate, pumpkin spice, creamy",Silky pudding in cookie crust,The Thanksgiving pie that combines two favorites.,"Pumpkin Pie, Chocolate Pie, Pudding Pie",Substitute bittersweet with milk chocolate; use any crust.,"Title: Chocolate Pumpkin Pudding Pie. Taste: Chocolate, pumpkin spice, creamy. Texture: Silky pudding in cookie crust. Memory: The Thanksgiving pie that combines two favorites.. Similar dishes: Pumpkin Pie, Chocolate Pie, Pudding Pie"
Snert (Dutch Split Pea Soup),"1 pound bone-in gammon (cured pork leg) | 2 (14 ounce) bags dried split peas | 8 ounces pork belly | 1 small celeriac (celery root), peeled and chopped | 2 leeks, sliced into 1/2-inch rings | 2 small onions, chopped | 1 carrot, chopped | 1 smoked sausage | 1 bunch fresh celery leaves, chopped | salt and ground black pepper to taste",,snert_dutch_split_pea_soup.jpg,8,30.0,166.0,"Smoky pork, hearty peas, savory","Thick, hearty, stick-to-your-ribs",The Dutch winter soup that's a meal in itself.,"Split Pea Soup, Dutch Soup, Pea Soup with Pork",Substitute gammon with ham hock; use any smoked sausage.,"Title: Snert (Dutch Split Pea Soup). Taste: Smoky pork, hearty peas, savory. Texture: Thick, hearty, stick-to-your-ribs. Memory: The Dutch winter soup that's a meal in itself.. Similar dishes: Split Pea Soup, Dutch Soup, Pea Soup with Pork"
Homemade Marzipan,1 ½ cups blanched almond flour | 1 ½ cups confectioners' sugar | 2 teaspoons almond extract | 1 teaspoon rose water | 1 egg white,,homemade_marzipan.jpg,12,10.0,,"Sweet almond, floral rose, nutty","Smooth, pliable, sweet",The almond paste that's better than store-bought.,"Marzipan, Almond Paste, Confectionery",Substitute rose water with almond extract; use any sugar.,"Title: Homemade Marzipan. Taste: Sweet almond, floral rose, nutty. Texture: Smooth, pliable, sweet. Memory: The almond paste that's better than store-bought.. Similar dishes: Marzipan, Almond Paste, Confectionery"
Easy Lemon Mousse,"½ cup heavy cream | 1 tablespoon confectioners' sugar | 1 (4 ounce) package cream cheese, softened | 1 ½ cups lemon curd | ½ teaspoon vanilla extract | 4 tablespoons mixed fresh berries | 4 fresh mint leaves",,easy_lemon_mousse.jpg,4,10.0,,"Tart lemon, creamy, light","Airy, fluffy, refreshing",The 10-minute dessert that looks fancy.,"Lemon Mousse, Lemon Dessert, Easy Dessert",Substitute lemon curd with lime; use any berries.,"Title: Easy Lemon Mousse. Taste: Tart lemon, creamy, light. Texture: Airy, fluffy, refreshing. Memory: The 10-minute dessert that looks fancy.. Similar dishes: Lemon Mousse, Lemon Dessert, Easy Dessert"
Air Fryer Pretzel Crescent Rolls,1 quart water | ¼ cup baking soda | 1 (8 ounce) package refrigerated crescent roll dough | pretzel salt | cooking spray,,air_fryer_pretzel_crescent_rolls.jpg,8,5.0,,"Buttery, salty, pretzel-like","Soft, chewy, crispy outside",The 15-minute pretzels that satisfy cravings.,"Pretzel Rolls, Crescent Pretzels, Easy Pretzels",Substitute baking soda bath with lye; use any salt.,"Title: Air Fryer Pretzel Crescent Rolls. Taste: Buttery, salty, pretzel-like. Texture: Soft, chewy, crispy outside. Memory: The 15-minute pretzels that satisfy cravings.. Similar dishes: Pretzel Rolls, Crescent Pretzels, Easy Pretzels"
Creamy Coconut Polenta,"3 ½ cups Silk® Unsweetened Coconutmilk | 1 teaspoon salt | 1 cup organic cornmeal | ¼ cup non-dairy cream cheese | 1 tablespoon vegan margarine (or butter), or more as needed | Chopped parsley, chives or other herbs, for garnish",,creamy_coconut_polenta.jpg,6,,,"Coconutty, creamy, mild","Smooth, creamy, comforting",The dairy-free polenta that's still incredibly creamy.,"Polenta, Coconut Grits, Creamy Cornmeal",Substitute coconut milk with any milk; use any herbs.,"Title: Creamy Coconut Polenta. Taste: Coconutty, creamy, mild. Texture: Smooth, creamy, comforting. Memory: The dairy-free polenta that's still incredibly creamy.. Similar dishes: Polenta, Coconut Grits, Creamy Cornmeal"
Marinated Flank Steak with Horseradish Cream,"½ cup low-sodium soy sauce | ½ cup dry sherry | ½ onion, finely chopped | 2 tablespoons olive oil | 2 tablespoons brown sugar | 1 tablespoon finely chopped fresh rosemary | 1 tablespoon minced garlic | 1 teaspoon ground black pepper | 1 (1 1/2-pound) flank steak | ½ cup sour cream | 3 green onions, finely chopped | 2 tablespoons prepared horseradish | salt and ground black pepper to taste",,marinated_flank_steak_with_horseradish_cream.jpg,4,15.0,20.0,"Savory soy-marinated beef, spicy horseradish",Tender steak with creamy sauce,The flank steak that's anything but boring.,"Flank Steak, Marinated Steak, Horseradish Beef",Substitute flank with skirt steak; use any mustard.,"Title: Marinated Flank Steak with Horseradish Cream. Taste: Savory soy-marinated beef, spicy horseradish. Texture: Tender steak with creamy sauce. Memory: The flank steak that's anything but boring.. Similar dishes: Flank Steak, Marinated Steak, Horseradish Beef"
Picadillo Ground Beef Quesadillas,"1 medium potato, peeled and diced | 1 teaspoon vegetable oil | 1 pound lean ground beef | ½ cup diced red bell pepper | ½ cup diced onion | 2 cloves garlic, minced | 1 (8 ounce) can tomato sauce | ¼ cup water | 2 tablespoons olive brine | 1 teaspoon ground cumin | 1 teaspoon dried oregano | salt and ground black pepper to taste | ½ cup sliced pimento-stuffed green olives | 3 tablespoons raisins | cooking spray | 12 (8 inch) flour tortillas | 1 cup shredded Mexican cheese blend",,picadillo_ground_beef_quesadillas.jpg,12,10.0,45.0,"Savory picadillo, olives, raisins, cheese",Crispy tortilla with sweet-savory filling,The Cuban picadillo transformed into quesadillas.,"Picadillo, Quesadillas, Cuban-Mexican Fusion",Substitute ground beef with turkey; use any olives.,"Title: Picadillo Ground Beef Quesadillas. Taste: Savory picadillo, olives, raisins, cheese. Texture: Crispy tortilla with sweet-savory filling. Memory: The Cuban picadillo transformed into quesadillas.. Similar dishes: Picadillo, Quesadillas, Cuban-Mexican Fusion"
Malaysian Lady Fingers (Okra),"1 tablespoon vegetable oil | 5 cloves garlic, minced | 10 uncooked shrimp - peeled, deveined, and cut in half | 10 fresh okra pods, sliced diagonally | 5 fresh red chile peppers, chopped | 1 teaspoon belacan (Malaysian chile-shrimp paste) | 2 tablespoons water | 2 teaspoons light soy sauce",,malaysian_lady_fingers_okra.jpg,4,20.0,10.0,"Spicy, savory, shrimp paste",Tender okra with sauce,The okra dish that converts haters.,"Okra Stir-Fry, Malaysian Vegetables, Spicy Okra",Substitute belacan with shrimp paste; use any chiles.,"Title: Malaysian Lady Fingers (Okra). Taste: Spicy, savory, shrimp paste. Texture: Tender okra with sauce. Memory: The okra dish that converts haters.. Similar dishes: Okra Stir-Fry, Malaysian Vegetables, Spicy Okra"
Easy Vegetarian Stuffed Mushrooms,"2 tablespoons butter, divided, or more as needed | 10 medium brown mushrooms, stems removed and diced | 3 ounces garden vegetable cream cheese spread (such as Philadelphia(R) Garden Vegetable), or more to taste | 2 stalks green onions, chopped | 1 tablespoon chopped fresh chives, or to taste | ¼ cup panko bread crumbs",,easy_vegetarian_stuffed_mushrooms.jpg,5,10.0,20.0,"Savory mushroom, creamy cheese, herby",Tender mushroom with creamy filling,The easy appetizer that everyone loves.,"Stuffed Mushrooms, Vegetarian Appetizer, Mushroom Caps",Substitute cream cheese with any soft cheese; use any herbs.,"Title: Easy Vegetarian Stuffed Mushrooms. Taste: Savory mushroom, creamy cheese, herby. Texture: Tender mushroom with creamy filling. Memory: The easy appetizer that everyone loves.. Similar dishes: Stuffed Mushrooms, Vegetarian Appetizer, Mushroom Caps"
Mojiteas,"4 tea bags | 12 sprigs fresh mint | 3 cups boiling water | 1 cup white sugar | 1 cup orange juice | ¼ cup lemon juice | 3 cups cold water, or more to taste | 1 cup light rum, or more to taste",,mojiteas.jpg,8,5.0,,"Minty tea, citrus, rum","Cold, refreshing, boozy tea",The mojito-meets-iced-tea hybrid that's perfect for parties.,"Mojito, Iced Tea, Tea Cocktail",Substitute rum with vodka; use any tea.,"Title: Mojiteas. Taste: Minty tea, citrus, rum. Texture: Cold, refreshing, boozy tea. Memory: The mojito-meets-iced-tea hybrid that's perfect for parties.. Similar dishes: Mojito, Iced Tea, Tea Cocktail"
Japanese Fruit Cake,"2 cups raisins | 2 cups flaked coconut | 1 cup chopped pecans | 3 cups all-purpose flour, divided | 2 cups white sugar | 1 cup butter | 6 large egg yolks | 4 teaspoons baking powder | 2 teaspoons ground cinnamon | 1 teaspoon nutmeg | 1 teaspoon ground cloves | 1 cup milk | 6 large egg whites | 2 cups white sugar | ¼ cup all-purpose flour | 1 ½ cups water | 2 oranges, peeled and seeded | 2 lemons, peeled and seeded | 2 cups flaked coconut",,japanese_fruit_cake.jpg,48,60.0,40.0,"Spiced cake, citrus filling, coconut","Layered, fruity, coconutty",The vintage cake that deserves a comeback.,"Fruit Cake, Layer Cake, Coconut Cake",Substitute any citrus; use any nuts.,"Title: Japanese Fruit Cake. Taste: Spiced cake, citrus filling, coconut. Texture: Layered, fruity, coconutty. Memory: The vintage cake that deserves a comeback.. Similar dishes: Fruit Cake, Layer Cake, Coconut Cake"
Cuban Chicken Sandwich,"1 ½ pounds chicken tenders | ½ cup mojo marinade, or as needed | 1 tablespoon olive oil, or more as needed | 8 thin slices sweet onion | 1 (1 pound) loaf Cuban bread | ¼ cup yellow mustard | 20 dill pickle slices | 4 slices Swiss cheese",,cuban_chicken_sandwich.jpg,4,15.0,10.0,"Citrusy mojo chicken, pickles, mustard","Pressed, crispy, melty",The Cuban sandwich with chicken instead of pork.,"Cuban Sandwich, Chicken Cuban, Pressed Sandwich",Substitute chicken with pork; use any cheese.,"Title: Cuban Chicken Sandwich. Taste: Citrusy mojo chicken, pickles, mustard. Texture: Pressed, crispy, melty. Memory: The Cuban sandwich with chicken instead of pork.. Similar dishes: Cuban Sandwich, Chicken Cuban, Pressed Sandwich"
